street_name,town,lat,lng,mrt_dist,school_dist,mall_dist,upcoming_mrt_dist
ADMIRALTY DR,SEMBAWANG,1.450685651,103.817133,0.0016981543949767654,0.000584776962738393,0.002507217323802103,0.03764817984303393
ADMIRALTY LINK,SEMBAWANG,1.455342003,103.8175415,0.006322791241102501,0.0013036850426033772,0.007151277978450526,0.041965592173131616
AH HOOD RD,KALLANG/WHAMPOA,1.327808684,103.8468005,0.004791620005575457,0.0050827882749823975,0.0008656740556677281,0.020522172865084377
ALJUNIED AVE 2,GEYLANG,1.32109794,103.8870987,0.0038281608240769297,0.0035988605799014716,0.0026578195575842245,0.010950514261877625
ALJUNIED CRES,GEYLANG,1.320532222,103.8857354,0.003573580807791493,0.0029783801395974496,0.002417172377200212,0.011445551967800343
ALJUNIED RD,GEYLANG,1.322421084,103.8814805,0.0026744958078994104,0.0025802978287753063,0.00453395713229015,0.012006651057520865
ANCHORVALE CRES,SENGKANG,1.398762529,103.8908759,0.005940810315388661,0.003184657547957244,0.005575849670793474,0.016842884731705553
ANCHORVALE DR,SENGKANG,1.39070393,103.889485,0.0014978314285185909,0.0005333559184325069,0.0016777035906075403,0.02483864442701355
ANCHORVALE LANE,SENGKANG,1.392199289,103.8842804,0.002047867177060807,0.001225889631444221,0.0016244575794614191,0.023505885916579948
ANCHORVALE LINK,SENGKANG,1.392390863,103.8900395,0.0011665635734989263,0.00027063291257333605,0.0009538120327514828,0.02315418904091823
ANCHORVALE RD,SENGKANG,1.393461584,103.8872008,0.0022607411623396575,0.0013000427566227755,0.00197979288571175,0.0221734834641197
ANCHORVALE ST,SENGKANG,1.397482763,103.8891036,0.005845399785144965,0.0028162925047855876,0.005331099283977936,0.018157014322849878
ANG MO KIO AVE 1,ANG MO KIO,1.36381724,103.8474201,0.003036363692667297,0.001912811261187553,0.0038589276567876844,0.018045359312767045
ANG MO KIO AVE 10,ANG MO KIO,1.367007392,103.8564735,0.003238718462453134,0.001808345428885016,0.0025884237299154795,0.020728105598182445
ANG MO KIO AVE 2,ANG MO KIO,1.372923411,103.8332125,0.0016032747525237406,0.001074688314855954,0.0026967774870836235,0.01981679851373933
ANG MO KIO AVE 3,ANG MO KIO,1.369191111,103.8573054,0.001716996639951618,0.002755975585839992,0.0032062326039257174,0.021723557527498785
ANG MO KIO AVE 4,ANG MO KIO,1.376413907,103.8393635,0.004980820236358721,0.000738038650975868,0.004657813288535622,0.019930804134181062
ANG MO KIO AVE 5,ANG MO KIO,1.376070036,103.8555767,0.005921790807918311,0.0038256964311617733,0.004541197742436709,0.02287312646165053
ANG MO KIO AVE 6,ANG MO KIO,1.376156326,103.8451263,0.0049830564611824365,0.0018028843841017478,0.004222101712967867,0.02103422479239156
ANG MO KIO AVE 8,ANG MO KIO,1.370897285,103.848654,0.0009810802187924194,0.0015308164395698052,0.0009029096319655808,0.021024065858426408
ANG MO KIO AVE 9,ANG MO KIO,1.384198684,103.8437162,0.0019705089399574558,0.0004360520709992262,0.005680946204501862,0.018409977081412825
ANG MO KIO ST 11,ANG MO KIO,1.371182065,103.8359091,0.0003099460763460923,0.0028162262813431764,0.0021258575866246313,0.01910512901793836
ANG MO KIO ST 21,ANG MO KIO,1.369067791,103.8348713,0.0024191147359834773,0.004664606035014763,0.003618244688461282,0.017722843148128112
ANG MO KIO ST 31,ANG MO KIO,1.36615254,103.8480775,0.003792047754548799,0.0008138122456605262,0.003631404892242354,0.018836000883219444
ANG MO KIO ST 32,ANG MO KIO,1.364749837,103.8503657,0.0038753708357630854,0.0008466400186144304,0.0030459733883389326,0.01885871268388549
ANG MO KIO ST 44,ANG MO KIO,1.366605492,103.8575527,0.003695543196998276,0.001683187784265006,0.002148992502557154,0.020801192122751028
ANG MO KIO ST 51,ANG MO KIO,1.37130534,103.8541354,0.0016468505242816858,0.0010894876757247321,0.0013358691984111468,0.022164406674868926
ANG MO KIO ST 52,ANG MO KIO,1.37266463,103.8533258,0.002831980460079968,0.00047471582647414965,0.001394581581120787,0.02276324513366532
ANG MO KIO ST 61,ANG MO KIO,1.38107923,103.8412277,0.0009306743396955945,0.0031852127135475854,0.008169652229302531,0.018515809044151007
BAIN ST,CENTRAL AREA,1.29726809,103.8540351,0.0009877485129722412,0.0032357294608391413,0.000973633045165187,0.0052445559512042765
BALAM RD,GEYLANG,1.330081766,103.8866261,0.003006502445986968,0.0035960102986437393,0.004688798855985196,0.01209267384707587
BANGKIT RD,BUKIT PANJANG,1.377763979,103.774142,0.0030574098844251556,0.002008980423782042,0.0020785106208956786,0.009230104471883
BEACH RD,KALLANG/WHAMPOA,1.299604533,103.8592229,0.0011695223562643694,0.005949869719172683,0.0005732212776285406,0.004488201124768836
BEDOK CTRL,BEDOK,1.326025348,103.9335868,0.002212891304749843,0.0027832434022526044,0.0009815255681173522,0.002166159342275333
BEDOK NTH AVE 1,BEDOK,1.328525862,103.9267382,0.0046069716735964005,0.0017476324834959664,0.002500109294914916,0.004557430373171564
BEDOK NTH AVE 2,BEDOK,1.330849069,103.9306893,0.00491280126157761,0.0010710481520703734,0.0047371971545483536,0.006811987210455858
BEDOK NTH AVE 3,BEDOK,1.331472862,103.934313,0.00504773960351298,0.001778119617838358,0.0054732577653802674,0.007504859473251827
BEDOK NTH AVE 4,BEDOK,1.335043879,103.9435632,0.0030662665509671966,0.0005177451381927752,0.00463683099119996,0.007951031528612283
BEDOK NTH RD,BEDOK,1.330873666,103.9304481,0.004858629385257658,0.0011091838416481805,0.004758794772636713,0.0068354867288592
BEDOK NTH ST 1,BEDOK,1.327439966,103.9307388,0.003455767678685216,0.0023774640177166863,0.0013509121419182776,0.003405335968104225
BEDOK NTH ST 2,BEDOK,1.32887107,103.9370683,0.002866989809144116,0.0015860420759728467,0.0032933999071108476,0.005122860156497845
BEDOK NTH ST 3,BEDOK,1.333483169,103.9275974,0.0025830408435803197,0.0011427755864577556,0.007378262502686588,0.009462332471684399
BEDOK NTH ST 4,BEDOK,1.332327091,103.9398126,0.004633844388923912,0.002159641721098137,0.0057209196711701755,0.006881568692928617
BEDOK RESERVOIR CRES,BEDOK,1.33646001,103.9204707,0.0018134203488657324,0.0010161149503046243,0.007481147292602467,0.012628280834885855
BEDOK RESERVOIR RD,BEDOK,1.337286995,103.9215157,0.00257498682255624,0.0018268174521407683,0.006622670679304015,0.013215729193086488
BEDOK RESERVOIR VIEW,BEDOK,1.337019465,103.9367814,0.0011317068889234937,0.002531682728349271,0.006489533466004237,0.010478448941590288
BEDOK STH AVE 1,BEDOK,1.317932563,103.9328377,0.005849457863487948,0.0026496450631651497,0.006877208809575236,0.004227555880480711
BEDOK STH AVE 2,BEDOK,1.3225481,103.9375648,0.002341012822759169,0.000901133649525698,0.00300816080214055,0.0023715567927549627
BEDOK STH AVE 3,BEDOK,1.32092477,103.9455142,0.004885264774378208,0.003144152823782668,0.005539665047102011,0.00293108502573941
BEDOK STH RD,BEDOK,1.32059567,103.9377658,0.0038895409023664037,0.002850399090075853,0.004658226296513585,0.003933104921242869
BENDEMEER RD,KALLANG/WHAMPOA,1.32089774,103.8653445,0.001305979483101659,0.0009148863863606988,0.005378308503663685,0.016204580154834985
BEO CRES,BUKIT MERAH,1.289300638,103.8271176,0.0019672535997165706,0.0021660634838021587,0.0030136117061821694,0.011812658156206593
BISHAN ST 11,BISHAN,1.346672864,103.8523193,0.003504350083783578,0.002789734745544066,0.003739346133911296,0.019850420702952797
BISHAN ST 12,BISHAN,1.346711442,103.8508991,0.00322946475135235,0.0028365961470339395,0.0036432593137693315,0.019550040877982375
BISHAN ST 13,BISHAN,1.349641097,103.8540644,0.0016328662570953127,0.00032070883412304804,0.0013937892157685962,0.0191047006561079
BISHAN ST 22,BISHAN,1.35751626,103.8452375,0.004065429866169211,0.0030981492792735783,0.004480346753892289,0.016482218981744817
BISHAN ST 23,BISHAN,1.357275315,103.8466089,0.00408960912158917,0.0029315110882685977,0.004535630440707285,0.016739410523848686
BISHAN ST 24,BISHAN,1.356907973,103.8443758,0.0034943914492606746,0.0025194359157273637,0.003936591771546417,0.016227985070961123
BOON KENG RD,KALLANG/WHAMPOA,1.315542815,103.8646097,0.0019154656409511794,0.0047371601723181925,0.004635709126151042,0.015754326716933182
BOON LAY AVE,JURONG WEST,1.347261894,103.7103822,0.0038178706584505915,0.0018670742259869523,0.0010021943102435215,0.0019816191485907612
BOON LAY DR,JURONG WEST,1.344075816,103.7128144,0.0018369802105870066,0.0009034080470292523,0.002299217701045455,0.002667145297228397
BOON LAY PL,JURONG WEST,1.347152071,103.7129727,0.0033968347082682423,0.0012859055163880974,0.0007861901394319392,0.0022831914971617796
BOON TIONG RD,BUKIT MERAH,1.286681921,103.831444,0.001338877737270163,0.0029142518774965143,0.001014661205938928,0.011438647145680993
BRIGHT HILL DR,BISHAN,1.357652186,103.8319847,0.0032416067419700164,0.002939312247614759,0.0033086816118808797,0.013736912717566399
BT BATOK CTRL,BUKIT BATOK,1.350524542,103.7497294,0.001489861397136997,0.00232120874864743,0.00019938274922288847,0.003355597260414151
BT BATOK EAST AVE 3,BUKIT BATOK,1.344542387,103.758375,0.004904109600830548,0.0010762036215002683,0.004614420932733074,0.005920592612884659
BT BATOK EAST AVE 4,BUKIT BATOK,1.349709668,103.758654,0.0021150458676180827,0.0039042891983878778,0.0021903774937557844,0.005429547976056958
BT BATOK EAST AVE 5,BUKIT BATOK,1.353562022,103.7548806,0.004674395312587322,0.0006970718017160813,0.003422880716973223,0.0032327928172732846
BT BATOK EAST AVE 6,BUKIT BATOK,1.345426642,103.7573014,0.0039992832584248555,0.00021589038541221402,0.005268551310622847,0.006512849092110629
BT BATOK ST 11,BUKIT BATOK,1.350000338,103.7433344,0.001666685349293757,0.0009449006204171288,0.0013212319759439055,0.0027483896214130837
BT BATOK ST 21,BUKIT BATOK,1.346618383,103.7534411,0.002567331314572296,0.0007594940806856479,0.003875720594815934,0.006797687872414721
BT BATOK ST 22,BUKIT BATOK,1.344417451,103.7497686,0.004406746498631815,0.0016861557978342572,0.0059596768032186935,0.00486492728009652
BT BATOK ST 24,BUKIT BATOK,1.342974249,103.756779,0.004776223202531142,0.002555323224525538,0.004503497449768849,0.004512711408212278
BT BATOK ST 25,BUKIT BATOK,1.343762857,103.7609321,0.004409582105397696,0.002031697887741101,0.003773093601581049,0.005735282674382744
BT BATOK ST 31,BUKIT BATOK,1.358329486,103.7489424,0.000709165274337441,0.0008560000614906116,0.004097329720997897,0.003181017357917692
BT BATOK ST 32,BUKIT BATOK,1.362487986,103.7483707,0.0038960372310172927,0.0016302914137418802,0.003271826085515804,0.004705513886909098
BT BATOK ST 33,BUKIT BATOK,1.362156215,103.7476264,0.003606376394857466,0.0019770250902312247,0.003462056415484131,0.004581492713184432
BT BATOK ST 34,BUKIT BATOK,1.364583546,103.7499312,0.004042129105923865,0.0005089090627563599,0.003496462965726312,0.004410134489405021
BT BATOK ST 51,BUKIT BATOK,1.355863164,103.7505648,0.002814103484500596,0.001795192997907651,0.004172992595081033,0.003921185993867531
BT BATOK ST 52,BUKIT BATOK,1.356390938,103.7534251,0.0022942065601998917,0.002154854851748567,0.0033960397896193877,0.003416326618226478
BT BATOK WEST AVE 2,BUKIT BATOK,1.358114396,103.7472612,0.0011236038503688115,0.0010954348293016826,0.004427176218765375,0.003035562610873796
BT BATOK WEST AVE 4,BUKIT BATOK,1.362767634,103.7469993,0.004230880168485394,0.0014062448345120774,0.003548856107467583,0.004970800260767212
BT BATOK WEST AVE 5,BUKIT BATOK,1.358786754,103.7422624,0.0020351503117540084,0.0013633503714070316,0.005559274682030422,0.0023804601846273755
BT BATOK WEST AVE 6,BUKIT BATOK,1.35366689,103.7429169,0.004849832037940532,0.0024875281692855757,0.003556466017438455,0.0018672796884757297
BT BATOK WEST AVE 7,BUKIT BATOK,1.365429985,103.7488114,0.004648200813900053,0.001317008607162065,0.00418754108208267,0.0039183009535558155
BT BATOK WEST AVE 8,BUKIT BATOK,1.355490279,103.7397878,0.004083869218849302,0.0033238784142277265,0.005498484141990782,0.0022686606510531593
BT BATOK WEST AVE 9,BUKIT BATOK,1.354981438,103.7418557,0.0042558920077516976,0.0027421630152052413,0.004867114036489051,0.002848744937550779
BT MERAH CTRL,BUKIT MERAH,1.283932126,103.8162972,0.003770554430677085,0.001676440400417247,0.004081013245136839,0.012571940630908477
BT MERAH LANE 1,BUKIT MERAH,1.285796965,103.8039701,0.005239315984145537,0.00326239127050996,0.0015311970313831992,0.01602366136314212
BT MERAH VIEW,BUKIT MERAH,1.284181034,103.8218811,0.0024765698485184223,0.0011511814808645344,0.0027476773608245803,0.012138193616917304
BT PANJANG RING RD,BUKIT PANJANG,1.386554207,103.7644644,0.0038801821107594353,0.0009031756800850839,0.0012971260825396568,0.003982638514907985
BT PURMEI RD,BUKIT MERAH,1.272826782,103.8255881,0.005121794168305035,0.0021704410267814863,0.005523240239187508,0.003159446985183084
BUANGKOK CRES,HOUGANG,1.383950004,103.8806898,0.002311781800415532,0.0019902827986493306,0.0004214876216613636,0.025262123108998058
BUANGKOK GREEN,HOUGANG,1.379634519,103.8827096,0.004501077150724925,0.0017916168234282425,0.0010269657499416631,0.026468850429785876
BUANGKOK LINK,HOUGANG,1.382819259,103.8820525,0.002229247005502822,0.001977138093134202,0.0015171141014281818,0.02566503900640678
BUFFALO RD,CENTRAL AREA,1.306828507,103.8507406,0.00047688129567737426,0.0035810823173410304,0.0006041313676671302,0.011309484648930565
C'WEALTH AVE,QUEENSTOWN,1.304769669,103.7955805,0.002034215104369742,0.004621718544492369,0.001978940537042195,0.019971452931774943
C'WEALTH AVE WEST,CLEMENTI,1.30807989,103.7884726,0.0018705795790854758,0.007119855604231356,0.0012648854830334638,0.01624439315455233
C'WEALTH CL,QUEENSTOWN,1.303789654,103.7989943,0.003364148178679036,0.004158214901638778,0.0032119781756138276,0.02091868773112683
C'WEALTH CRES,QUEENSTOWN,1.307698572,103.8004235,0.002984508678065699,0.007767963961191827,0.0028152903650313105,0.018696143026334874
C'WEALTH DR,QUEENSTOWN,1.298973465,103.7975814,0.002825922916842702,0.0009506485137307367,0.006875673697965318,0.02049949247538855
CAMBRIDGE RD,KALLANG/WHAMPOA,1.315065133,103.848572,0.0024837191969330034,0.002380711753000504,0.0024638134914088707,0.018955599887987413
CANBERRA CRES,SEMBAWANG,1.446921054,103.8299128,0.0024222404347044027,0.0021521451745529106,0.001808571411539022,0.03357508210018371
CANBERRA LINK,SEMBAWANG,1.447044054,103.8275265,0.00217921918999538,0.0021290805883146025,0.00151802574515967,0.03380046452617325
CANBERRA RD,SEMBAWANG,1.451734079,103.8206601,0.002708116074843346,0.00026961769957584885,0.003542643430791698,0.0384623221910186
